Year,Conference,Union,Churches,Companies,Beginning Membership,Baptisms,Former Member Baptisms,Professions of Faith,Transfers In,Transfers Out,Deaths,Dropped,Missing,Total Gains,Total Losses,Adjust,Net Growth,Ending Membership,Growth Rate,Accession Rate,Death Rate,Ordained Ministers,Licensed Ministers
1979,Central Ghana Conference,Northern Ghana Union Conference,83.0,0.0,23214,4700.0,0.0,0.0,47.0,34.0,79.0,190.0,0.0,4747,303,0.0,4444,27658,19.14%,20.25%,0.34%,0.0,0.0
1980,Central Ghana Conference,Northern Ghana Union Conference,87.0,0.0,27658,4281.0,0.0,0.0,37.0,37.0,83.0,215.0,0.0,4318,335,0.0,3983,31641,14.40%,15.48%,0.30%,25.0,21.0
1981,Central Ghana Conference,Northern Ghana Union Conference,0.0,0.0,31641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4584.0,4584,36225,14.49%,0.00%,0.00%,0.0,0.0
1982,Central Ghana Conference,Northern Ghana Union Conference,95.0,0.0,36225,4793.0,0.0,0.0,63.0,1653.0,86.0,128.0,0.0,4856,1867,0.0,2989,39214,8.25%,13.23%,0.24%,25.0,19.0
1983,Central Ghana Conference,Northern Ghana Union Conference,123.0,0.0,39214,6016.0,0.0,0.0,25.0,30.0,62.0,36.0,0.0,6041,128,0.0,5913,45127,15.08%,15.34%,0.16%,25.0,19.0
1984,Central Ghana Conference,Northern Ghana Union Conference,123.0,0.0,45127,12225.0,0.0,0.0,121.0,144.0,80.0,145.0,0.0,12346,369,0.0,11977,57104,26.54%,27.09%,0.18%,29.0,19.0
1985,Central Ghana Conference,Northern Ghana Union Conference,176.0,0.0,57104,10280.0,0.0,0.0,49.0,39.0,66.0,113.0,0.0,10329,218,0.0,10111,67215,17.71%,18.00%,0.12%,29.0,21.0
1986,Central Ghana Conference,Northern Ghana Union Conference,202.0,0.0,67215,9099.0,0.0,0.0,353.0,142.0,149.0,609.0,0.0,9452,900,0.0,8552,75767,12.72%,13.54%,0.22%,35.0,21.0
1987,Central Ghana Conference,Northern Ghana Union Conference,164.0,0.0,57388,5265.0,0.0,0.0,138.0,638.0,100.0,223.0,0.0,5403,961,0.0,4442,61830,7.74%,9.17%,0.17%,23.0,21.0
1988,Central Ghana Conference,Northern Ghana Union Conference,194.0,0.0,61830,5746.0,0.0,0.0,418.0,1011.0,165.0,371.0,0.0,6164,1547,0.0,4617,66447,7.47%,9.29%,0.27%,0.0,0.0
1989,Central Ghana Conference,Northern Ghana Union Conference,206.0,0.0,66447,7043.0,0.0,0.0,78.0,172.0,100.0,346.0,0.0,7121,618,0.0,6503,72950,9.79%,10.60%,0.15%,28.0,29.0
1990,Central Ghana Conference,Northern Ghana Union Conference,217.0,0.0,72950,6656.0,0.0,0.0,95.0,331.0,145.0,1656.0,0.0,6751,2132,0.0,4619,77569,6.33%,9.12%,0.20%,34.0,31.0
1991,Central Ghana Conference,Northern Ghana Union Conference,255.0,0.0,77569,4300.0,0.0,0.0,1003.0,1039.0,165.0,698.0,0.0,5303,1902,0.0,3401,80970,4.38%,5.54%,0.21%,36.0,42.0
1992,Central Ghana Conference,Northern Ghana Union Conference,225.0,0.0,80970,7512.0,0.0,0.0,78.0,477.0,188.0,2075.0,0.0,7590,2740,0.0,4850,85820,5.99%,9.28%,0.23%,46.0,35.0
1993,Central Ghana Conference,Northern Ghana Union Conference,257.0,0.0,85820,7677.0,0.0,0.0,69.0,247.0,192.0,618.0,0.0,7746,1057,0.0,6689,92509,7.79%,8.95%,0.22%,51.0,40.0
1994,Central Ghana Conference,Northern Ghana Union Conference,275.0,0.0,92509,6867.0,0.0,0.0,291.0,536.0,301.0,1544.0,0.0,7158,2381,0.0,4777,97286,5.16%,7.42%,0.33%,46.0,40.0
1995,Central Ghana Conference,Northern Ghana Union Conference,285.0,0.0,97286,3141.0,0.0,0.0,360.0,4218.0,110.0,659.0,0.0,3501,4987,0.0,-1486,95800,-1.53%,3.23%,0.11%,46.0,0.0
1996,Central Ghana Conference,Northern Ghana Union Conference,283.0,0.0,95800,9730.0,0.0,0.0,167.0,605.0,196.0,5369.0,0.0,9897,6170,0.0,3727,99527,3.89%,10.16%,0.20%,46.0,40.0
1997,Central Ghana Conference,Northern Ghana Union Conference,284.0,584.0,99527,13587.0,0.0,0.0,406.0,896.0,238.0,5699.0,0.0,13993,6833,0.0,7160,106687,7.19%,13.65%,0.24%,50.0,32.0
1998,Central Ghana Conference,Northern Ghana Union Conference,164.0,255.0,58416,9100.0,0.0,35.0,532.0,1679.0,539.0,495.0,1024.0,9667,3737,-2573.0,3357,61773,5.75%,15.64%,0.92%,55.0,27.0
1999,Central Ghana Conference,Northern Ghana Union Conference,186.0,253.0,61773,7649.0,0.0,1.0,483.0,406.0,218.0,146.0,304.0,8133,1074,336.0,7395,69168,11.97%,12.38%,0.35%,55.0,27.0
2000,Central Ghana Conference,Northern Ghana Union Conference,176.0,294.0,69168,4232.0,0.0,45.0,313.0,473.0,306.0,303.0,295.0,4590,1377,34.0,3247,72415,4.69%,6.18%,0.44%,55.0,27.0
